line;name;color
Сокольническая;Улица Подбельского;red
Сокольническая;Черкизовская;red
Сокольническая;Преображенская площадь;red
Сокольническая;Сокольники;red
Сокольническая;Красносельская;red
Сокольническая;Комсомольская;red
Сокольническая;Красные ворота;red
Сокольническая;Чистые пруды;red
Сокольническая;Лубянка;red
Сокольническая;Охотный ряд;red
Сокольническая;Библиотека им. Ленина;red
Сокольническая;Кропоткинская;red
Сокольническая;Парк культуры;red
Сокольническая;Фрунзенская;red
Сокольническая;Спортивная;red
Сокольническая;Воробьёвы горы;red
Сокольническая;Университет;red
Сокольническая;Проспект Вернадского;red
Сокольническая;Юго-Западная;red
Замоскворецкая;Красногвардейская;green
Замоскворецкая;Домодедовская;green
Замоскворецкая;Орехово;green
Замоскворецкая;Царицыно;green
Замоскворецкая;Кантемировская;green
Замоскворецкая;Каширская;green
Замоскворецкая;Коломенская;green
Замоскворецкая;Автозаводская;green
Замоскворецкая;Павелецкая;green
Замоскворецкая;Новокузнецкая;green
Замоскворецкая;Театральная;green
Замоскворецкая;Тверская;green
Замоскворецкая;Маяковская;green
Замоскворецкая;Белорусская;green
Замоскворецкая;Динамо;green
Замоскворецкая;Аэропорт;green
Замоскворецкая;Сокол;green
Замоскворецкая;Войковская;green
Замоскворецкая;Водный стадион;green
Замоскворецкая;Речной вокзал;green
Арбатско-Покровская;Митино;blue
Арбатско-Покровская;Волоколамская;blue
Арбатско-Покровская;Мякинино;blue
Арбатско-Покровская;Строгино;blue
Арбатско-Покровская;Крылатское;blue
Арбатско-Покровская;Молодежная;blue
Арбатско-Покровская;Кунцевская;blue
Арбатско-Покровская;Славянский бульвар;blue
Арбатско-Покровская;Парк Победы;blue
Арбатско-Покровская;Киевская;blue
Арбатско-Покровская;Смоленская [глуб.];blue
Арбатско-Покровская;Арбатская [глуб.];blue
Арбатско-Покровская;Площадь Революции;blue
Арбатско-Покровская;Курская;blue
Арбатско-Покровская;Бауманская;blue
Арбатско-Покровская;Электрозаводская;blue
Арбатско-Покровская;Семеновская;blue
Арбатско-Покровская;Партизанская;blue
Арбатско-Покровская;Измайловская;blue
Арбатско-Покровская;Первомайская;blue
Арбатско-Покровская;Щелковская;blue
Филевская;Александровский сад;light-blue
Филевская;Арбатская [мелк.];light-blue
Филевская;Смоленская [мелк.];light-blue
Филевская;Киевская [мелк.];light-blue
Филевская;Выставочная;light-blue
Филевская;Международная;light-blue
Филевская;Студенческая;light-blue
Филевская;Кутузовская;light-blue
Филевская;Фили;light-blue
Филевская;Багратионовская;light-blue
Филевская;Филевский парк;light-blue
Филевская;Пионерская;light-blue
Филевская;Кунцевская;light-blue
Кольцевая;Белорусская;brown
Кольцевая;Новослободская;brown
Кольцевая;Проспект Мира;brown
Кольцевая;Комсомольская;brown
Кольцевая;Курская;brown
Кольцевая;Таганская;brown
Кольцевая;Павелецкая;brown
Кольцевая;Добрынинская;brown
Кольцевая;Октябрьская;brown
Кольцевая;Парк культуры;brown
Кольцевая;Киевская;brown
Кольцевая;Краснопресненская;brown
Калужско-Рижская;Медведково;orange
Калужско-Рижская;Бабушкинская;orange
Калужско-Рижская;Свиблово;orange
Калужско-Рижская;Ботанический сад;orange
Калужско-Рижская;ВДНХ;orange
Калужско-Рижская;Алексеевская;orange
Калужско-Рижская;Рижская;orange
Калужско-Рижская;Проспект Мира;orange
Калужско-Рижская;Сухаревская;orange
Калужско-Рижская;Тургеневская;orange
Калужско-Рижская;Китай-город;orange
Калужско-Рижская;Третьяковская;orange
Калужско-Рижская;Октябрьская;orange
Калужско-Рижская;Шаболовская;orange
Калужско-Рижская;Ленинский проспект;orange
Калужско-Рижская;Академическая;orange
Калужско-Рижская;Профсоюзная;orange
Калужско-Рижская;Новые Черемушки;orange
Калужско-Рижская;Калужская;orange
Калужско-Рижская;Беляево;orange
Калужско-Рижская;Коньково;orange
Калужско-Рижская;Теплый Стан;orange
Калужско-Рижская;Ясенево;orange
Калужско-Рижская;Новоясеневская;orange
Таганско-Краснопресненская;Выхино;purple
Таганско-Краснопресненская;Рязанский проспект;purple
Таганско-Краснопресненская;Кузьминки;purple
Таганско-Краснопресненская;Текстильщики;purple
Таганско-Краснопресненская;Волгоградский проспект;purple
Таганско-Краснопресненская;Пролетарская;purple
Таганско-Краснопресненская;Таганская;purple
Таганско-Краснопресненская;Китай-город;purple
Таганско-Краснопресненская;Кузнецкий мост;purple
Таганско-Краснопресненская;Пушкинская;purple
Таганско-Краснопресненская;Баррикадная;purple
Таганско-Краснопресненская;Улица 1905 года;purple
Таганско-Краснопресненская;Беговая;purple
Таганско-Краснопресненская;Полежаевская;purple
Таганско-Краснопресненская;Октябрьское поле;purple
Таганско-Краснопресненская;Щукинская;purple
Таганско-Краснопресненская;Тушинская;purple
Таганско-Краснопресненская;Сходненская;purple
Таганско-Краснопресненская;Планерная;purple
Калининская;Новокосино;yellow
Калининская;Новогиреево;yellow
Калининская;Перово;yellow
Калининская;Шоссе Энтузиастов;yellow
Калининская;Авиамоторная;yellow
Калининская;Площадь Ильича;yellow
Калининская;Марксистская;yellow
Калининская;Третьяковская;yellow
Серпуховско-Тимирязевская;Алтуфьево;grey
Серпуховско-Тимирязевская;Бибирево;grey
Серпуховско-Тимирязевская;Отрадное;grey
Серпуховско-Тимирязевская;Владыкино;grey
Серпуховско-Тимирязевская;Петровско-Разумовская;grey
Серпуховско-Тимирязевская;Тимирязевская;grey
Серпуховско-Тимирязевская;Дмитровская;grey
Серпуховско-Тимирязевская;Савеловская;grey
Серпуховско-Тимирязевская;Менделеевская;grey
Серпуховско-Тимирязевская;Цветной бульвар;grey
Серпуховско-Тимирязевская;Чеховская;grey
Серпуховско-Тимирязевская;Боровицкая;grey
Серпуховско-Тимирязевская;Полянка;grey
Серпуховско-Тимирязевская;Серпуховская;grey
Серпуховско-Тимирязевская;Тульская;grey
Серпуховско-Тимирязевская;Нагатинская;grey
Серпуховско-Тимирязевская;Нагорная;grey
Серпуховско-Тимирязевская;Нахимовский проспект;grey
Серпуховско-Тимирязевская;Севастопольская;grey
Серпуховско-Тимирязевская;Чертановская;grey
Серпуховско-Тимирязевская;Южная;grey
Серпуховско-Тимирязевская;Пражская;grey
Серпуховско-Тимирязевская;Улица Академика Янгеля;grey
Серпуховско-Тимирязевская;Аннино;grey
Серпуховско-Тимирязевская;Бульвар Дмитрия Донского;grey
Люблинско-Дмитровская;Марьина Роща;lime
Люблинско-Дмитровская;Достоевская;lime
Люблинско-Дмитровская;Трубная;lime
Люблинско-Дмитровская;Сретенский бульвар;lime
Люблинско-Дмитровская;Чкаловская;lime
Люблинско-Дмитровская;Римская;lime
Люблинско-Дмитровская;Крестьянская застава;lime
Люблинско-Дмитровская;Дубровка;lime
Люблинско-Дмитровская;Кожуховская;lime
Люблинско-Дмитровская;Печатники;lime
Люблинско-Дмитровская;Волжская;lime
Люблинско-Дмитровская;Люблино;lime
Люблинско-Дмитровская;Братиславская;lime
Люблинско-Дмитровская;Марьино;lime
Люблинско-Дмитровская;Борисово;lime
Люблинско-Дмитровская;Шипиловская;lime
Люблинско-Дмитровская;Зябликово;lime
Каховская;Каширская;teal
Каховская;Варшавская;teal
Каховская;Каховская;teal
Бутовская;Битцевский парк;blue-grey
Бутовская;Лесопарковая;blue-grey
Бутовская;Улица Старокачаловская;blue-grey
Бутовская;Улица Скобелевская;blue-grey
Бутовская;Бульвар адмирала Ушакова;blue-grey
Бутовская;Улица Горчакова;blue-grey
Бутовская;Бунинская аллея;blue-grey
